b_title_statement_t/0,a_title_statement_t/0,imprint_s,title_statement_t/0,gender_s
"issues of gender, 'race', sexuality, disability and social class /","Education, equality and human rights :","Abingdon [etc.] : Routledge, 2012.","Education, equality and human rights : issues of gender, 'race', sexuality, disability and social class / edited by Mike Cole.",
"issues of gender, ""race"", sexuality, disability and social class /","Education, equality and human rights :","London [etc.] : Routledge, 2006.","Education, equality and human rights : issues of gender, ""race"", sexuality, disability and social class / edited by Mike Cole.",
"Race, Social Class, and Masculinity.",Intimate Partner Violence :,"El Paso : LFB Scholarly Pub. LLC, 2009.","Intimate Partner Violence : Race, Social Class, and Masculinity.",unknown
Perspectives and Applications.,"Culture, Social Class, and Race in Public Relations :","Lanham : Lexington Books, 2012.","Culture, Social Class, and Race in Public Relations : Perspectives and Applications.",male
,Teaching intersectionality: putting gender at the centre /,"[Utrecht etc.] : ATHENA3, 2009.",Teaching intersectionality: putting gender at the centre / ed. by Martha Franken ... [et al.],
"race, social class, and gang membership /",Juvenile arrest in America :,"El Paso : LFB Scholarly Pub., 2012.","Juvenile arrest in America : race, social class, and gang membership / Mike Tapia.",male
debates on a multi-faceted concept in gender studies /,Framing intersectionality :,"Farnham [etc.] : Ashgate, 2011.","Framing intersectionality : debates on a multi-faceted concept in gender studies / ed. by Helma Lutz, Maria Teresa Herrera Vivar, Linda Supik.",
"global, transnational and local contexts /","Analyzing gender, intersectionality, and multiple inequalities :","Bingley, UK : Emerald, 2011.","Analyzing gender, intersectionality, and multiple inequalities : global, transnational and local contexts / edited by Esther Ngan-Ling Chow, Marcia Texler Segal, Lin Tan.",
"Investigating the Triangle of Racial, Gender and Disability Discrimination /",European Union Non-Discrimination Law and Intersectionality :,"Burlington, VT : Ashgate Pub., ©2011.","European Union Non-Discrimination Law and Intersectionality : Investigating the Triangle of Racial, Gender and Disability Discrimination / edited by Dagmar Schiek and Anna Lawson.",
,"Gender equality, intersectionality and diversity in Europe /","New York, N.Y. : Palgrave Macmillan, 2013.","Gender equality, intersectionality and diversity in Europe / by Lise Rolandsen Agustín.",unknown
